Objetivo Estratégico,Atividade,Órgão Responsável no PPCDAm,Programa no PPA 2012-2015,Objetivo,Iniciativa,Ação / Unidade Orçamentária,Valor Autorizado (2014),Valor Empenhado (2014),Valor Liquidado (2014),Restos a Pagar Pago (2014),Valor Autorizado (2013),Valor Empenhado (2013),Valor Liquidado (2013),Restos a Pagar Pago* (2013),Valor Autorizado (2012),Valor Empenhado (2012),Valor Liquidado (2012),Restos a Pagar Pago* (2012)
1. Promover ordenamento fundiário de terras públicas,Realizar a desintrusão de terras indígenas demarcadas administrativamente,FUNAI,2065- Proteção e Promoção dos Direitos dos Povos Indígenas,"0943- Garantir aos povos indígenas a plena ocupação e gestão de suas terras, a partir da consolidação dos espaços e definição dos limites territoriais, por meio de ações de regularização fundiária, fiscalização e monitoramento das terras indígenas e proteção dos índios isolados, contribuindo para a redução de conflitos e para ampliar a presença do Estado democrático e pluriétnico de direito, especialmente em áreas vulneráveis.","0406- Realizar a delimitação, a demarcação e a regularização fundiária, a fiscalização, a vigilância, o combate e a prevenção de ilícitos, o monitoramento territorial, espacial e ambiental e, a extrusão de não índios das terras indígenas, bem como localizar e proteger povos indígenas isolados e de recente contato","20UF -Fiscalização e demarcação de Terras Indígenas, localização e proteção de índios isolados e de recente contato / UO: Fundação Nacional do Índio.","R$ 55.603.765,00","R$ 24.398.671,00","R$ 18.978.690,00","R$ 6.826.996,00","R$ 87.863.432,00","R$ 58.292.425,00","R$ 17.402.383,00",,"R$ 1.171.428,00","R$ 0,00","R$ 0,00","R$ 0,00"
1. Promover ordenamento fundiário de terras públicas,Propor criação e ampliação de UCs,ICMBio,2018- Biodiversidade,0510- Promover a conservação e o uso sustentável de ambientes singulares e de alta relevância para a biodiversidade e garantir a representatividade dos ecossistemas brasileiros por meio da ampliação e consolidação do Sistema Nacional de Unidades de Conservação e de outras áreas protegidas.,01WK- Ampliação e consolidação do Sistema Nacional de Unidades de Conservação,"20LX- Ampliação e Consolidação do Sistema Nacional de Unidades de
Conservação da Natureza","R$ 4.665.549,00","R$ 244.402,00","R$ 230.655,00","R$ 55.289,00","R$ 596.337,00","R$ 416.995,00","R$ 353.293,00",,"R$ 2.701.944,00","R$ 749.288,00","R$ 680.863,00","R$ 0,00"
2. Implementar os instrumentos de ordenamento territorial visando a conservação da floresta,Elaborar zoneamento de silvicultura na Amazônia Legal de acordo com recomendações do MacroZEE,Embrapa,"2029- Desenvolvimento Regional, Territorial Sustentável e Economia Solidária",0793- Elaborar e implementar o Zoneamento Ecológico-Econômico para a promoção do ordenamento e da gestão ambiental territorial.,036V- Compatibilização dos projetos de ZEE em diferentes escalas e sua integração ao Zoneamento Agrícola,20VT- Zoneamento Ecológico Econômico (ZEE) / UO: Ministério do Meio Ambiente,"R$ 550.000,00","R$ 46.899,00","R$ 46.633,00","R$ 0,00","R$ 550.000,00","R$ 17.870,00","R$ 17.870,00",,"R$ 50.000,00","R$ 0,00","R$ 0,00",
2. Implementar os instrumentos de ordenamento territorial visando a conservação da floresta,Elaborar zoneamento de silvicultura na Amazônia Legal de acordo com recomendações do MacroZEE,Embrapa,"2029- Desenvolvimento Regional, Territorial Sustentável e Economia Solidária",0793- Elaborar e implementar o Zoneamento Ecológico-Econômico para a promoção do ordenamento e da gestão ambiental territorial.,036W- Disponibilização e manutenção do banco de dados sobre zoneamento e gestão ambiental territorial e promoção da elaboração de bases cartográficas,,,,,,,,,,,,,
2. Implementar os instrumentos de ordenamento territorial visando a conservação da floresta,Elaborar zoneamento de silvicultura na Amazônia Legal de acordo com recomendações do MacroZEE,Embrapa,"2029- Desenvolvimento Regional, Territorial Sustentável e Economia Solidária",0793- Elaborar e implementar o Zoneamento Ecológico-Econômico para a promoção do ordenamento e da gestão ambiental territorial.,"036X- Elaboração e implementação do Zoneamento Ecológico-Econômico do território nacional, em suas múltiplas escalas",,,,,,,,,,,,,"R$ 0,00"
2. Implementar os instrumentos de ordenamento territorial visando a conservação da floresta,"Apoiar os estados do Acre, Amapá, Amazonas, Pará e Roraima na revisão, conclusão e detalhamento de seus respectivos ZEE",MMA,"2029- Desenvolvimento Regional, Territorial Sustentável e Economia Solidária",0793- Elaborar e implementar o Zoneamento Ecológico-Econômico para a promoção do ordenamento e da gestão ambiental territorial.,"036Z- Integração do Zoneamento Ecológico-Econômico com os demais instrumentos de planejamento ambiental territorial, em especial as Agendas 21, os planos diretores e os planos de bacias hidrográficas",,,,,,,,,,,,,
2. Implementar os instrumentos de ordenamento territorial visando a conservação da floresta,"Produzir cartas do vazio cartográfico da Amazônia Legal, na escala 1:50.000",Cencipam,2066- Reforma Agrária e Ordenamento da Estrutura Fundiária,"0418- Aumentar a governança sobre a malha fundiária, gerenciar o ordenamento fundiário por meio dos sistemas cadastrais e cartográficos do Instituto Nacional de Colonização e Reforma Agrária (INCRA), realizar a fiscalização das informações
cadastrais da propriedade, controlar a aquisição de imóveis por estrangeiros, proceder a certificação dos imóveis rurais e combater a grilagem de terra pública.","01DW- Modernizar o Sistema Nacional de Cadastro Rural (SNCR), implantar o Cadastro Nacional de Imóveis Rurais (CNIR) e ampliar a inserção de dados geográficos ao acervo fundiário do Incra e a integração dele com outras bases geográficas para qualificar o controle e o gerenciamento da malha fundiária nacional, dar apoio à certificação de imóveis rurais e promover a massificação do seu acesso",2105- Gerenciamento e Fiscalização do Cadastro Rural,"R$ 4.560.000,00","R$ 1.975.446,00","R$ 1.582.418,00","R$ 132.477,00","R$ 5.000.000,00","R$ 1.778.007,00","R$ 1.345.696,00",,"R$ 7.500.000,00","R$ 1.504.580,00","R$ 1.367.691,00","R$ 0,00"
2. Implementar os instrumentos de ordenamento territorial visando a conservação da floresta,Celebrar contratos de concessão de direito real de uso dos povos e comunidades tradicionais (CDRU) com organizações dos povos e comunidades tradicionais das UC de Uso Sustentável Federais,ICMBio,2018- Biodiversidade,0510- Promover a conservação e o uso sustentável de ambientes singulares e de alta relevância para a biodiversidade e garantir a representatividade dos ecossistemas brasileiros por meio da ampliação e consolidação do Sistema Nacional de Unidades de Conservação e de outras áreas protegidas.,"01WP- Apoio e execução de projetos de monitoramento, e geração de conhecimento para a criação, gestão e avaliação da efetividade das Unidades de Conservação","20WM- Apoio à Criação, Gestão e Implementação das Unidades de Conservação Federais","R$ 131.427.402,00","R$ 126.446.266,00","R$ 113.880.999,00","R$ 9.497.829,00","R$ 320.000,00","R$ 320.000,00","R$ 0,00",,"R$ 921.036,00","R$ 0,00","R$ 0,00","R$ 0,00"
2. Implementar os instrumentos de ordenamento territorial visando a conservação da floresta,Sinalizar e demarcar o perímetro de Unidades de Conservação Federais,ICMBio,2018- Biodiversidade,0510- Promover a conservação e o uso sustentável de ambientes singulares e de alta relevância para a biodiversidade e garantir a representatividade dos ecossistemas brasileiros por meio da ampliação e consolidação do Sistema Nacional de Unidades de Conservação e de outras áreas protegidas.,01WU- Consolidação territorial das Unidades de Conservação Federais,6381- Consolidação Territorial das Unidades de Conservação Federais,"R$ 223.416.000,00","R$ 4.109.272,00","R$ 857.520,00","R$ 28.281,00","R$ 66.212.730,00","R$ 312.788,00","R$ 284.507,00",,"R$ 18.654.807,00","R$ 980.445,00","R$ 466.499,00","R$ 0,00"
2. Implementar os instrumentos de ordenamento territorial visando a conservação da floresta,Promover a desapropriação de terras privadas e indenização de posses localizadas no interior de UC Federais,ICMBio,2018- Biodiversidade,0510- Promover a conservação e o uso sustentável de ambientes singulares e de alta relevância para a biodiversidade e garantir a representatividade dos ecossistemas brasileiros por meio da ampliação e consolidação do Sistema Nacional de Unidades de Conservação e de outras áreas protegidas.,01WW- Implantação de Corredores Ecológicos,101V- Implantação de Corredores Ecológicos,"R$ 1.739.000,00","R$ 1.011.373,00","R$ 264.148,00","R$ 10.395.861,00","R$ 15.215.554,00","R$ 13.251.520,00","R$ 3.774.674,00",,"R$ 14.375.268,00","R$ 7.893.056,00","R$ 1.916.101,00","R$ 0,00"
2. Implementar os instrumentos de ordenamento territorial visando a conservação da floresta,Implementar instrumentos de gestão de conflitos em UC's Federais com áreas de sobreposição com territórios de povos e comunidades tradicionais,ICMBio,2018- Biodiversidade,0510- Promover a conservação e o uso sustentável de ambientes singulares e de alta relevância para a biodiversidade e garantir a representatividade dos ecossistemas brasileiros por meio da ampliação e consolidação do Sistema Nacional de Unidades de Conservação e de outras áreas protegidas.,01X1- Implementação e gestão das Unidades de Conservação Federais,,,,,,,,,,,,,
2. Implementar os instrumentos de ordenamento territorial visando a conservação da floresta,Elaborar Planos de Gestão Territorial e Ambiental de Terras Indígenas,FUNAI e MMA,2065- Proteção e Promoção dos Direitos dos Povos Indígenas,"0945- Implantar e desenvolver política nacional de gestão ambiental e territorial de terras indígenas, por meio de estratégias integradas e participativas com vistas ao desenvolvimento sustentável e à autonomia dos povos indígenas.","0413- Promover a gestão ambiental participativa das terras indígenas, por meio de planos, projetos e estruturação da capacidade de gestão etnoambientais, bem como atuar como interveniente nos processos de licenciamento ambiental de empreendimentos que possuam significativo potencial de impacto sobre as terras e povos indígenas",20W4- Gestão Ambiental e Territorial das Terras Indígenas / UO: Ministério do Meio Ambiente,"R$ 2.111.220,00","R$ 166.012,00","R$ 36.087,00","R$ 8.109,00","R$ 200.000,00","R$ 182.105,00","R$ 17.705,00",,"R$ 3.638.600,00","R$ 0,00","R$ 0,00","R$ 0,00"
2. Implementar os instrumentos de ordenamento territorial visando a conservação da floresta,Ordenamento Territorial e Fundiário do Distrito Agropecuário da Suframa,SUFRAMA,"2029- Desenvolvimento Regional, Territorial Sustentável e Economia
Solidária","1004- Promover mecanismos que estimulem o Desenvolvimento Econômico Regional Sustentável na Amazônia Ocidental mediante a geração, atração e consolidação de investimentos apoiados em educação, inovação, ciência, tecnologia, implantação de projetos de desenvolvimento econômico e a promoção das potencialidades e vocações regionais.","04FP- Apoio ao desenvolvimento industrial e tecnológico e a estruturação de cadeias produtivas de produtos
desenvolvidos a partir da utilização da biodiversidade amazônica.","0506- Apoio a projetos de desenvolvimento na área de atuação da Suframa, com ênfase em arranjos produtivos locais e cadeias produtivas",,,,,,,,,"R$ 42.000.000,00","R$ 6.000.000,00","R$ 0,00","R$ 0,00"
